time,seconds,z,y,x
1639030193137645300,0.0,-0.19427654568747188,-0.2896603218825325,-0.13796362848297353
1639030193157793300,0.020147949218753,-0.1774427458066274,0.7875732329742062,-0.6671236000942168
1639030193177940500,0.0402951660156247,-0.18929221943232247,1.825436581208941,-1.1809678600432751
1639030193198088200,0.0604428710937483,-0.25315901081796793,2.7861021569138478,-1.6674716562212963
1639030193218236200,0.0805908203125014,-0.3804217700806708,3.64107411705643,-2.1180753903050014
1639030193238383400,0.1007380371093731,-0.5684950789373706,4.371819754816762,-2.527552425100183
1639030193258531300,0.1208859863281262,-0.8019821786837023,4.968232531669349,-2.8929545453274668
1639030193278678300,0.1410329589843755,-1.0563176140884805,5.425972070379928,-3.2122120950657975
1639030193298826200,0.1611809082031285,-1.302812560880064,5.743660741552637,-3.482737394776459
1639030193318973200,0.1813278808593779,-1.513932131728023,5.920585660506629,-3.700179293968592
1639030193339121400,0.2014760742187533,-1.6678411404998963,5.955093850614715,-3.857603876662984
1639030193359269000,0.2216237792968769,-1.7516371050664645,5.843449915866854,-3.9456290773559717
1639030193379416300,0.2417709960937486,-1.7629564896803496,5.578978427450781,-3.9539074491026422
1639030193399564300,0.2619189453125017,-1.7096475934391846,5.152019608081896,-3.8736844613886934
1639030193419711200,0.282065917968751,-1.6072752389326568,4.551888517731213,-3.7005013337478165
1639030193439859200,0.3022138671875041,-1.4748117865056445,3.771631955391658,-3.4360783102816237
1639030193460007200,0.32236181640625,-1.3297475040436055,2.8149702972657056,-3.0889342947868506
1639030193480154400,0.3425090332031288,-1.1841945473763391,1.703534448505069,-2.673817119868943
1639030193500302000,0.3626567382812524,-1.043033094977457,0.48217944854157513,-2.21026815293153
1639030193520449300,0.3828039550781241,-0.9042013114308586,-0.7794232229475387,-1.720722523433919
1639030193540597200,0.4029519042968772,-0.760432212282794,-1.9901174212662962,-1.2284813756542023
1639030193560744200,0.4230988769531265,-0.601498126957199,-3.046101013918773,-0.7557140974735207
1639030193580892200,0.4432468261718796,-0.4163906784657452,-3.844765028562121,-0.3215679751945171
1639030193601040100,0.4633947753906255,-0.1953400078908408,-4.301176235000129,0.05946862990577465
1639030193621187300,0.4835419921875044,0.06828763175120692,-4.36312697886807,0.37880039964210643
1639030193641335300,0.5036899414062503,0.3762149174961443,-4.020619518611965,0.6344741193772172
1639030193661482000,0.5238366699218773,0.7236484833913437,-3.3074683654519763,0.8312429128164851
1639030193681630200,0.5439848632812527,1.0981158382300373,-2.2951024575481895,0.9795018023239583
1639030193701778200,0.5641328124999987,1.479221662856017,-1.0806759202265006,1.0927693923816335
1639030193721925400,0.5842800292968775,1.8396272221258716,0.2270843658763717,1.1840929761169365
1639030193742073000,0.6044277343750011,2.147273220648213,1.5208722243267834,1.2625085986197075
1639030193762220000,0.6245747070312504,2.3687442430580545,2.7046147655155917,1.3308218556234532
1639030193782368300,0.6447229003906259,2.4734731482074297,3.6997551343298123,1.3854585122608363
1639030193802515200,0.6648698730468752,2.4381729340224023,4.4486486332436215,1.4183633978112251
1639030193822663200,0.6850178222656282,2.2507404169433745,4.9159632362792705,1.420235280273533
1639030193842811100,0.7051657714843742,1.9129693086073971,5.088700142960804,1.3840170087573884
1639030193862958000,0.7253127441406235,1.441636738199834,4.974946255380169,1.3076255217711483
1639030193883106300,0.745460937499999,0.8678179117455401,4.601117990628904,1.1952608128711908
1639030193903253000,0.7656076660156259,0.23455464346813626,4.007492208984332,1.057037967827026
1639030193923401200,0.7857558593750014,-0.4068314131747679,3.2422862059913116,0.9070640920115373
1639030193943548200,0.8059028320312507,-1.0014178453260065,2.355310617858115,0.7604575152778587
1639030193963696000,0.8260507812500038,-1.4959458877192313,1.3928731699750827,0.6300793229126729
1639030193983844400,0.8461989746093792,-1.8442423310759501,0.3955315972541659,0.5237937936257179
1639030194003991000,0.866345703124999,-2.0123867942006832,-0.6008702818649526,0.44298235472658426
1639030194024139300,0.8864938964843745,-1.9832423503849694,-1.5621363014185392,0.38285899523997996
1639030194044286200,0.9066408691406238,-1.759965467061689,-2.452908214715342,0.3346870044076377
1639030194064434200,0.9267888183593768,-1.3678750204454686,-3.2361706316415995,0.2893074362296598
1639030194084582100,0.94693676757813,-0.8533635844769083,-3.8758656442323023,0.240919022517186
1639030194104729000,0.9670837402343792,-0.27811318356507647,-4.341506476748244,0.19002147628651528
1639030194124877300,0.9872319335937548,0.2914619439887732,-4.612117082060651,0.14445856179535183
1639030194145024000,1.0073786621093743,0.7960343266820706,-4.6774215230649325,0.11743646933737337
1639030194165172200,1.02752685546875,1.1913261541005011,-4.536883018429102,0.12210413069102777
1639030194185319200,1.047673828124999,1.4500666896940446,-4.198713131015401,0.1643659566422729
1639030194205467100,1.0678217773437524,1.5600006416280567,-3.679586140638675,0.23762397404176216
1639030194225615400,1.0879702148437502,1.5210769995095874,-3.0040420264125527,0.32268749547874676
1639030194245762000,1.1081166992187548,1.3434242907037381,-2.2027991796517354,0.39293630040457467
1639030194265910300,1.1282648925781231,1.0462746832920673,-1.3104848617408635,0.4217433188269206
