time,seconds,z,y,x
1638924008971558700,0.0065585937500003,-0.04347462146940256,-0.09143946724497047,-0.08922493767639673
1638924008991643400,0.0266433105468753,-0.15278245620989678,-0.07712925870593872,-0.24292092814949992
1638924009011727600,0.0467275390625001,-0.25355906567607406,-0.0646519770577529,-0.3820794639107152
1638924009031812400,0.0668122558593751,-0.3396189353101265,-0.05451869283802487,-0.49526720871636154
1638924009051897600,0.0868977050781243,-0.40684199063448995,-0.04696768481264205,-0.5732969759452148
1638924009071981300,0.1069812011718767,-0.45349206868253683,-0.04201593071429551,-0.6099798754809945
1638924009092066600,0.1270666503906241,-0.4799907185780788,-0.03958421895004773,-0.6025986062580895
1638924009112151600,0.1471516113281232,-0.48832280822484186,-0.03962470847582849,-0.5520841934841606
1638924009132235300,0.1672353515624998,-0.4813316568596542,-0.042169484794973074,-0.4628995719875271
1638924009152320500,0.1873205566406248,-0.4621074163653842,-0.04726493700038443,-0.3426338068134927
1638924009172405500,0.2074055175781257,-0.4335416482196916,-0.05482577256537237,-0.2013169598664236
1638924009192489500,0.2274895019531246,-0.3980167546679961,-0.06448895023113807,-0.05047974164367954
1638924009212574500,0.2475744628906255,-0.3571872598644018,-0.0755500543011824,0.09800415618620735
1638924009232659500,0.2676594238281247,-0.3118654362106315,-0.08703005661846719,0.23322383202422922
1638924009252743400,0.2877434082031236,-0.262063614981124,-0.09787565232108661,0.3465483914180239
1638924009272828400,0.3078283691406245,-0.20722080205012225,-0.10725751913227975,0.4327390230616098
1638924009292913400,0.3279133300781236,-0.1465769726272308,-0.11488992268139113,0.4906016558711606
1638924009312997400,0.3479973144531243,-0.07960184623671565,-0.12125582326845757,0.5229728810444721
1638924009333082400,0.3680822753906234,-0.0063571586884648,-0.12761731152697428,0.5359646220926454
1638924009353167400,0.3881674804687502,0.07231451977309176,-0.13573906591930834,0.5375726226016541
1638924009373251300,0.4082512207031232,0.1548106928362574,-0.14732522840609644,0.5359168049535188
1638924009393336300,0.4283364257812501,0.23893282213914385,-0.16323800096355123,0.5374659697800194
1638924009413421300,0.4484213867187492,0.3220652351153097,-0.18263165120837418,0.5455878965514037
1638924009433506600,0.4685065917968742,0.40127395442759206,-0.20219667265327432,0.5597019714350723
1638924009453590300,0.4885903320312508,0.47331794358200385,-0.21572381433765025,0.5752339052169998
1638924009473675500,0.5086755371093759,0.5346263707086328,-0.21412828723166352,0.5844514957418785
1638924009493760300,0.5287602539062508,0.5813143690782343,-0.18595423168057887,0.5780642754881365
1638924009513844500,0.5488444824218757,0.6093162511219814,-0.1182944051889378,0.5472609059003378
1638924009533929500,0.5689294433593766,0.6146906321113128,0.001944043646215776,0.4857450887667796
1638924009554014500,0.5890144042968757,0.5940752256396237,0.18645698628260757,0.39135719847717954
1638924009574098400,0.6090983886718764,0.545208343620927,0.4436624770903601,0.26700506263424734
1638924009594183400,0.6291833496093755,0.4674587363152036,0.7765994875180822,0.12081261518105392
1638924009614268400,0.6492683105468764,0.362356918234773,1.1807945176157395,-0.034451110589062806
1638924009634352400,0.6693522949218753,0.23410113428356177,1.642391243118411,-0.18254046524265852
1638924009654437400,0.6894372558593744,0.08993457184205585,2.1369030293517106,-0.3053879422057665
1638924009674522400,0.7095224609374995,-0.05977872486561533,2.6289741625621503,-0.3851331398287373
1638924009694606300,0.7296064453125002,-0.2019984205586033,3.073521027384092,-0.4063659261359082
1638924009714691300,0.7496914062499993,-0.3221477798335536,3.4185150409354224,-0.35835315541665624
1638924009734776600,0.7697766113281244,-0.4058848860806983,3.6094144701056017,-0.23694956250572657
1638924009754861300,0.7898613281249993,-0.44113344144191824,3.5949152108898144,-0.045867551056665394
1638924009774945500,0.8099455566406242,-0.41993801912255924,3.333450103574112,0.202945570601356
1638924009795030300,0.8300302734374991,-0.339921961045953,2.799808817743973,0.4899103593436325
1638924009815115500,0.8501154785156242,-0.20525927615780168,1.9912113026107423,0.7893209464761073
1638924009835199200,0.8701992187500007,-0.026914247598551943,0.9319711795643206,1.0715953766107047
1638924009855284500,0.8902844238281258,0.17827477371953412,-0.3243646798311644,1.3061034470284796
1638924009875369200,0.9103691406250008,0.389847745361627,-1.6965460118908433,1.4643626959683667
1638924009895453400,0.9304533691406256,0.5867749396670596,-3.0815718648136157,1.523259289424822
1638924009915538400,0.9505383300781248,0.7501970003698043,-4.364936387329304,1.467851943526015
1638924009935623400,0.9706235351562498,0.8650008663763227,-5.433840258742148,1.2934316507828119
1638924009955707400,0.9907072753906244,0.9202649245843612,-6.191060514327705,1.0067305592713325
1638924009975792400,1.0107924804687514,0.9092567501914824,-6.567007453195776,0.6261686135211754
1638924009995877600,1.0308776855468764,0.8296583435109613,-6.528211969745037,0.18079967401537334
1638924010015962400,1.0509624023437496,0.6841927753492669,-6.081458465303961,-0.2924018702861964
1638924010036046600,1.0710466308593745,0.48117931408978426,-5.273295481904299,-0.7528514280160159
1638924010056131300,1.0911313476562512,0.23427743648943675,-4.184734731295727,-1.1615798656875902
1638924010076216600,1.1112165527343765,-0.03883974318350876,-2.921360461018573,-1.4862698826903382
1638924010096300300,1.1313002929687492,-0.3183764370683773,-1.6001473343718369,-1.7050174483114366
1638924010116385500,1.1513854980468743,-0.5842081198548005,-0.33525217848570693,-1.8081983968874558
1638924010136471000,1.1714709472656253,-0.8174588967403403,0.7748549748264455,-1.7984508488057174
1638924010156555000,1.1915549316406242,-1.0021386535621608,1.6571479234921915,-1.6891826105162628
1638924010176640000,1.211639892578123,-1.126871340157089,2.2696956543110463,-1.5020496880523035
1638924010196725000,1.2317250976562484,-1.1863090895080997,2.6029650264915345,-1.2637656465737481
1638924010216809000,1.2518090820312509,-1.1817668852817753,2.67720429561221,-1.0026281462495619
1638924010236894000,1.27189404296875,-1.120920158251906,2.5368329564116765,-0.7452334168117453
1638924010256979000,1.291979003906249,-1.0167277125047431,2.2429670159997745,-0.5138213448112583
1638924010277064000,1.3120639648437518,-0.885836227256694,1.865137674703404,-0.32453236691055565
1638924010297148000,1.332147949218751,-0.7466306896650137,1.4730955694923897,-0.18665811388641276
1638924010317233000,1.3522329101562498,-0.6170258446892243,1.129473802373704,-0.10279632434076796
1638924010337318000,1.372317871093749,-0.5121841443681036,0.8839763442553797,-0.06970300003509547
1638924010357401900,1.3924018554687514,-0.4425108635901233,0.7695741771069914,-0.07959507793579633
1638924010377486800,1.4124868164062503,-0.4123181729157274,0.8009142239451986,-0.1216844913110637
1638924010397572000,1.4325720214843756,-0.4193918855713265,0.9748203117161969,-0.18376407371489362
1638924010417656000,1.4526560058593745,-0.45547051563820995,1.2724713108347676,-0.2536877006275398
1638924010437741000,1.4727409667968736,-0.507524912862671,1.6626707870030366,-0.32061537634100096
1638924010457825800,1.4928256835937503,-0.5596887674605413,2.1056037470382103,-0.375931412199656
1638924010477910000,1.5129099121093752,-0.5955830105705202,2.5565579717464546,-0.4137524993197579
1638924010497995000,1.5329951171875005,-0.6005968394122024,2.9692160894970847,-0.43094369580667574
1638924010518080000,1.5530800781249994,-0.5636435516876467,3.298303125712853,-0.4266398185618423
1638924010538164700,1.573164794921876,-0.4781411746009053,3.501628265428909,-0.40143259704967776
1638924010558249000,1.593249023437501,-0.3423289114556084,3.5418426930544706,-0.3565155792833393
1638924010578334000,1.613333984375,-0.15923841077917425,3.388406416766943,-0.29308398209142406
1638924010598419000,1.6334189453124992,0.06340935271805377,3.020193385043298,-0.21218294108274027
1638924010618503000,1.6535029296875017,0.31329196939071596,2.428868614660002,-0.11504789606016724
1638924010638588000,1.6735878906250008,0.5736584875449331,1.6227407860017158,-0.0038146499462721655
1638924010658673200,1.693673095703126,0.8238461284457468,0.6303346423257309,0.11767008179011042
1638924010678756900,1.7137568359374988,1.0404709558212577,-0.4974731814260218,0.24325423741887228
1638924010698842000,1.733842041015624,1.1995752567273792,-1.688153600132801,0.3643329593327597
1638924010718926800,1.7539267578125006,1.2798676836669454,-2.8523774564792412,0.47026140105849534
1638924010739011000,1.7740109863281257,1.2667759300068635,-3.8935996936390236,0.5494491021872807
1638924010759095800,1.7940957031249989,1.1561701270899745,-4.721222810625041,0.5913151251350618
1638924010779181000,1.8141811523437497,0.955970796358982,-5.264097411269576,0.5889636430864499
1638924010799265800,1.8342658691406264,0.684612884749844,-5.4804907976788275,0.5416666133626454
1638924010819350000,1.8543500976562517,0.3672906767753139,-5.362283914793347,0.45587622543291156
1638924010839434800,1.8744348144531244,0.032158301582652725,-4.9335572369034635,0.3442029385523735
1638924010859520000,1.8945200195312493,-0.29204185498428903,-4.24526254344163,0.22289347548933255
1638924010879604000,1.9146040039062484,-0.5772265644116412,-3.3679656373710585,0.10882210467743315
1638924010899689000,1.934688964843751,-0.7974380524731719,-2.383940278004298,0.016821166696926404
1638924010919773700,1.9547736816406245,-0.9313528144489088,-1.3789992154615232,-0.04220728037273481
1638924010939858000,1.974857910156249,-0.9653324026042978,-0.43419677286740144,-0.062272414335366726
1638924010959943000,1.994942871093748,-0.895729755648319,0.3821394788437645,-0.042438741940959965
1638924010980028000,2.015027832031251,-0.7295051164667902,1.0211509828710876,0.013683245311778967
1638924011000111900,2.03511181640625,-0.4831413702746474,1.457814032525782,0.09884028514532009
1638924011020196900,2.055196777343749,-0.18050290381412618,1.6920448022121142,0.20316300076184143
1638924011040282000,2.0752822265625,0.1497168885807399,1.7464557929608828,0.3151666016163467
1638924011060366800,2.0953669433593767,0.4767305521782842,1.661470559428323,0.42277706671327275
1638924011080451000,2.115451171875001,0.7706733601554471,1.4888404882126178,0.5145265314831301
1638924011100535800,2.1355358886718747,1.0058727584396383,1.2845263633963773,0.5809355077465878
1638924011120621000,2.15562109375,1.1638783677092333,1.101716115436554,0.6158710033489215
1638924011140704500,2.1757045898437504,1.2354820273072256,0.9846585066438444,0.6175451492227336
1638924011160789500,2.195789550781249,1.2212321304759515,0.9639539056005385,0.5888853836461142
