time,seconds,z,y,x
1638000902892486100,0.196486083984375,-0.8495322003149559,0.13678247084910694,-0.800234261714054
1638000902912625400,0.21662548828125,-0.6405458114933456,-0.14288928283966276,-0.37356094436425796
1638000902932764700,0.2367646484375,-0.4129267952447224,-0.4117455945320139,0.033351514690498525
1638000902952904000,0.256904052734375,-0.1621893920229369,-0.6556666098448997,0.40633673975486817
1638000902973043200,0.277043212890625,0.1116452745242482,-0.8646516197383242,0.7353487382998501
1638000902993182500,0.297182373046875,0.4031750084591598,-1.0341232589306883,1.015006058261504
1638000903013322000,0.317322021484375,0.7010396936814113,-1.1652570043802444,1.2442612835785476
1638000903033461200,0.337461181640625,0.9872192865105722,-1.2641655123636453,1.4250833890185357
1638000903053600500,0.3576005859375,1.236264862930601,-1.3398994086750833,1.560202764260823
1638000903073739800,0.37773974609375,1.4153873838673825,-1.4016184444841278,1.650234517651205
1638000903093879000,0.397879150390625,1.4867134361379932,-1.4558288552777425,1.6908429143187702
1638000903114018300,0.418018310546875,1.4123418981811688,-1.5049037674196943,1.6709622299677964
1638000903134157600,0.438157470703125,1.1615938015696887,-1.547757715590499,1.5731943480907928
1638000903154296800,0.458296875,0.7189929950403684,-1.582465345419557,1.3769739383491582
1638000903174436400,0.478436279296875,0.09130094968631229,-1.6095586420385801,1.0639904307122938
1638000903194575600,0.49857568359375,-0.6880120289525826,-1.634563637396869,0.6244198521338435
1638000903214715000,0.51871484375,-1.5582782435321194,-1.6687855984027036,0.06222576470174715
1638000903234854100,0.538854248046875,-2.43594026029685,-1.7277439503809597,-0.601956840578133
1638000903254993400,0.558993408203125,-3.223337430127926,-1.8273057953805378,-1.330985877386276
1638000903275132700,0.579132568359375,-3.820487404235383,-1.9787812798764202,-2.0737860604358422
1638000903295272000,0.59927197265625,-4.137907511593728,-2.18497765910539,-2.7689769467327627
1638000903315411200,0.6194111328125,-4.108781255751732,-2.4385311785085966,-3.348674757356733
1638000903335550700,0.63955078125,-3.6990976159373057,-2.7225061890932962,-3.7426486855928895
1638000903355690000,0.65968994140625,-2.9144549145153418,-3.0125010285575335,-3.8836012254235
1638000903375830000,0.679830078125,-1.802356166670266,-3.279534201762154,-3.7140216791606933
1638000903395974700,0.699974609375,-0.44930614298136434,-3.493285410813238,-3.1941523001253542
1638000903416119600,0.72011962890625,1.0272210542125793,-3.6253909575788303,-2.3097682422741608
1638000903436264200,0.74026416015625,2.491119086265801,-3.6523811010927925,-1.0781748298776128
1638000903456408800,0.760408935546875,3.802947149937458,-3.557765431586326,0.4489747117628364
1638000903476553500,0.780553466796875,4.836394845804161,-3.3329337876322103,2.186976506400454
1638000903496698400,0.800698486328125,5.493546765891124,-2.9768606734337437,4.023771013082595
1638000903516843000,0.820843017578125,5.716351248377341,-2.4949875073179895,5.829534916742134
1638000903536988000,0.84098779296875,5.492370087012247,-1.8980996903975782,7.4689466240089075
1638000903557132500,0.861132568359375,4.854170519911962,-1.202117429249496,8.814439233260067
1638000903577282300,0.8812822265625,3.8729655343969904,-0.4289976407698421,9.758612435019183
1638000903597433600,0.90143359375,2.648110101508036,0.3920576066047838,10.224141238479078
1638000903617585200,0.921585205078125,1.2947414192405349,1.2241235495591796,10.170025358287313
1638000903637736400,0.941736328125,-0.06816626303845395,2.0233410898984996,9.593811020626434
1638000903657887700,0.9618876953125,-1.327899320711964,2.741073828611571,8.530232179996
1638000903678039000,0.9820390625,-2.385860005939893,3.32746771808973,7.047237579202725
1638000903698190600,1.002190673828125,-3.1633603093711886,3.736427206400129,5.240384470531212
1638000903718342000,1.022341796875,-3.6057616942370743,3.9317201142394005,3.226131389552445
1638000903738493200,1.0424931640625,-3.685569042941708,3.893344709417962,1.134016247499208
1638000903758644500,1.06264453125,-3.404960969115691,3.62272480640611,-0.9024234173950847
1638000903778795800,1.082795654296875,-2.797401239879145,3.1451696242202707,-2.755661282433289
1638000903798947300,1.102947265625,-1.926918035895497,2.508698792089236,-4.314109151300026
1638000903819098600,1.1230986328125,-0.8834314361855236,1.779419558258452,-5.490675261106743
1638000903839250000,1.14325,0.22640394735270203,1.0341662821586213,-6.229209457462304
1638000903859401200,1.163401123046875,1.2916388829513226,0.3510885816859489,-6.508936681485707
1638000903879552500,1.183552490234375,2.2102121488348234,-0.20063566803022362,-6.3469676395658965
1638000903899702500,1.20370263671875,2.9001675550233292,-0.5698900849488382,-5.798024916607228
1638000903919852500,1.2238525390625,3.3072186712366007,-0.7293949020345591,-4.950024667738582
1638000903940002600,1.24400244140625,3.4083202433755435,-0.6772117961229014,-3.9149598819967837
1638000903960152600,1.264152587890625,3.2116899881688648,-0.43456357024170694,-2.8159921838293864
1638000903980302600,1.284302490234375,2.753855763960062,-0.04138422963981175,-1.772768811940938
1638000904000452600,1.30445263671875,2.0941954063864907,0.44931645375393975,-0.8874006463240128
1638000904020602400,1.324602294921875,1.307472375444315,0.9779244900289932,-0.2334184919523287
1638000904040752400,1.34475244140625,0.47515513117925384,1.4852811819946115,0.15058784191674288
1638000904060902400,1.36490234375,-0.3233618065268182,1.9195760249439373,0.26203771181356417
1638000904081052400,1.385052490234375,-1.0184122925853956,2.2420019710843815,0.1307128093449691
1638000904101202400,1.405202392578125,-1.555616804682782,2.430374371419352,-0.18826420776729236
1638000904121352400,1.4253525390625,-1.8989586073832538,2.4804705361037933,-0.6233152715675075
1638000904141502500,1.44550244140625,-2.031688993609746,2.405193235846494,-1.0959120365726018
1638000904161652200,1.46565234375,-1.9557824871568092,2.2316177837471143,-1.5298661212874922
1638000904181802200,1.48580224609375,-1.6905557104152844,1.995930359426517,-1.8597922785109433
1638000904201952300,1.5059521484375,-1.2706866980856977,1.736743610030464,-2.0380423261415945
1638000904222102300,1.526102294921875,-0.7436264032126914,1.4880733559109922,-2.0392607408516144
1638000904242252300,1.546252197265625,-0.1663259985279854,1.2735434008456445,-1.8618631914889705
1638000904262402300,1.56640234375,0.39884759569698264,1.1028853029050296,-1.5262498711208459
1638000904282552300,1.58655224609375,0.8891861569099193,0.9710760052748098,-1.0701948364704847
1638000904302702000,1.6067021484375,1.2478344690557543,0.8600065143794705,-0.5423411945709253
1638000904322852000,1.62685205078125,1.4308887284153715,0.7423695513323072,0.004984301611066322
1638000904343002000,1.647002197265625,1.4144008533227417,0.5872354412742639,0.5223306663759859
1638000904363152100,1.667152099609375,1.1994841899302309,0.36646986089137834,0.9679708302165791
1638000904383301600,1.687301513671875,0.8136941707402684,0.06091767345814726,1.3105937066580013
1638000904403449000,1.707448974609375,0.30784608722366735,-0.33472514778612517,1.5302096354375312
1638000904423596300,1.72759619140625,-0.25123166950026526,-0.8092893705134844,1.6180691612077451
1638000904443743700,1.74774365234375,-0.7905443978216616,-1.3354478663693305,1.576106558961851
1638000904463891200,1.76789111328125,-1.2414682622643523,-1.873132436201425,1.415784848092392
1638000904484038700,1.78803857421875,-1.5490105686635591,-2.3753610318584495,1.1559416921338668
1638000904504186000,1.80818603515625,-1.6781926885900416,-2.7949441787122984,0.819565564449676
1638000904524333600,1.82833349609375,-1.6168556496699102,-3.090340746575963,0.4300773276283257
1638000904544481000,1.84848095703125,-1.375249462902695,-3.229669777601609,0.008217016442591752
1638000904564628500,1.86862841796875,-0.9832536606087683,-3.1930142220233346,-0.4293198974584349
1638000904584775700,1.888775634765625,-0.4859353275493187,-2.973775615450166,-0.8689415508713458
1638000904604923100,1.908923095703125,0.061987220599354534,-2.5796103204266916,-1.2973403959862282
1638000904625070600,1.929070556640625,0.6021546033055634,-2.032759042541291,-1.6980329636843172
1638000904645218000,1.949218017578125,1.0784144905440831,-1.369070709839633,-2.048699987173723
1638000904665365500,1.969365478515625,1.4419167682724503,-0.6352276607655268,-2.3203839436716356
1638000904685513000,1.989512939453125,1.6550070111095596,0.11562277641334684,-2.4790061987883067
1638000904705660400,2.009660400390625,1.6937827434270356,0.8290728106278734,-2.4891847168640218
1638000904725807900,2.029807861328125,1.5494824652233705,1.454576527033195,-2.319938507087888
